coreid,no.metal,no.topology,LCD,PLD,PLD/LCD,Density (g/cm3),ASA (m2/cm3),ASA (m2/g),VF,PV (cm3/g),Has OMS,frac_C,frac_H,frac_O,frac_N,frac_halogen,frac_metal,H_over_C,O_over_C,N_over_C,NF3_uptake(mol/kg),CF4_uptake(mol/kg),Selectivity(NF3/CF4)
2017[CuTb][nan]3[ASR]3,53,0,5.24372,4.63314,0.883559763,2.38891,967.73,405.093,0.4812,0.201431,1,0.375,0.25,0.125,0.0625,0.083333333,0.104166667,0.666666667,0.333333333,0.166666667,0.735206962,0.224063641,3.2812417
2016[In][nan]3[ASR]9,7,0,7.3352,7.16469,0.976754553,1.33824,1617.43,1208.63,0.5978,0.446706,0,0.444444444,0.222222222,0.277777778,0,0,0.055555556,0.5,0.625,0,3.942041243,1.207169212,3.265525002
2013[Ni][gfy]3[ION]1,5,22,6.70177,5.87916,0.877254815,1.16873,767.605,656.788,0.2428,0.207748,0,0.512195122,0.317073171,0.048780488,0.097560976,0.008130081,0.016260163,0.619047619,0.095238095,0.19047619,2.414159941,0.74839976,3.225762581
2016[In][nan]3[ASR]6,7,0,7.37887,7.19811,0.975503024,1.33313,1472.33,1104.41,0.4693,0.352029,0,0.444444444,0.222222222,0.277777778,0,0,0.055555556,0.5,0.625,0,3.979747385,1.260807381,3.156507049
2007[Ag][nan]3[ASR]1,13,0,5.41993,4.64907,0.857773071,1.01024,1400.24,1386.04,0.3845,0.380601,0,0.435897436,0.435897436,0,0.051282051,0,0.025641026,1,0,0.117647059,2.466596606,0.788754432,3.127204749
2014[Ni][gfy]3[ION]5,5,22,6.69327,5.84762,0.873656673,1.17051,763.782,652.523,0.243,0.207603,0,0.512195122,0.317073171,0.048780488,0.097560976,0.008130081,0.016260163,0.619047619,0.095238095,0.19047619,2.363920849,0.757720543,3.119779277
2001[Zn][dia]3[ASR]1,1,3,5.06836,4.77082,0.94129462,1.40153,584.389,416.964,0.4142,0.295533,1,0.493150685,0.342465753,0.095890411,0.04109589,0,0.02739726,0.694444444,0.194444444,0.083333333,1.101146538,0.353535927,3.114666582
2016[In][nan]3[ASR]8,7,0,7.34873,7.16817,0.975429768,1.33317,1621.61,1216.36,0.598,0.448556,0,0.444444444,0.222222222,0.277777778,0,0,0.055555556,0.5,0.625,0,3.926557,1.264819616,3.104440308
2014[Ni][gfy]3[ION]4,5,22,6.55551,5.45025,0.831399845,1.20276,675.108,561.3,0.2083,0.173185,0,0.5,0.30952381,0.071428571,0.103174603,0,0.015873016,0.619047619,0.142857143,0.206349206,2.10094795,0.677741698,3.099924285
2019[La][nan]3[ASR]3,14,0,7.64053,4.52668,0.592456282,1.33605,1205.33,902.162,0.5098,0.381573,1,0.520408163,0.265306122,0.132653061,0,0,0.020408163,0.509803922,0.254901961,0,2.309477082,0.749931368,3.079584585
2014[Ni][gfy]3[ION]2,5,22,6.69444,5.84937,0.873765393,1.17051,968.014,827.005,0.4988,0.426141,0,0.512195122,0.317073171,0.048780488,0.097560976,0.008130081,0.016260163,0.619047619,0.095238095,0.19047619,2.32502139,0.758142542,3.066733842
2016[In][nan]3[ASR]5,7,0,7.37696,7.26143,0.984339077,1.32308,1481.2,1119.51,0.474,0.358255,0,0.444444444,0.222222222,0.277777778,0,0,0.055555556,0.5,0.625,0,4.041319149,1.325765138,3.048291915
2006[FeAs][nan]3[FSR]1,191,0,6.6136,5.51475,0.833849946,2.25182,1199.52,532.69,0.4614,0.204901,0,0.085714286,0.085714286,0.628571429,0,0,0.085714286,1,7.333333333,0,1.564481311,0.514381184,3.041482386
2014[Ni][gfy]3[ION]1,5,22,6.55588,5.45199,0.831618333,1.20276,866.77,720.653,0.4762,0.395923,0,0.5,0.30952381,0.071428571,0.103174603,0,0.015873016,0.619047619,0.142857143,0.206349206,2.146917024,0.707128857,3.036104386
2012[In][nan]3[ASR]2,7,0,7.4293,7.3044,0.983188187,1.3124,1478.6,1126.64,0.4864,0.370619,0,0.444444444,0.222222222,0.277777778,0,0,0.055555556,0.5,0.625,0,4.108584565,1.37118492,2.996375255
2006[AsFe][nan]3[ASR]1,190,0,6.6136,5.51475,0.833849946,2.20984,1178.2,533.163,0.4712,0.213228,1,0.088235294,0.088235294,0.617647059,0,0,0.088235294,1,7,0,1.542224651,0.514798814,2.995781282
2016[In][nan]3[ASR]10,7,0,7.37686,7.19687,0.97560073,1.32558,1626.97,1227.36,0.599,0.451877,0,0.444444444,0.222222222,0.277777778,0,0,0.055555556,0.5,0.625,0,3.856605639,1.291101254,2.98706676
